Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Chicago Fire,1.78,1.96,1.32,1.77,1.10,1.53,1.47,1.33,1.53,1.50,1.20,1.26,1.68,1.44
Chivas USA,null,null,null,null,null,0.56,1.34,1.77,1.43,1.50,0.93,1.06,0.88,0.76
Colorado Rapids,1.34,0.88,1.54,1.33,1.37,1.41,1.28,1.17,1.27,1.33,1.53,1.44,1.09,1.50
Columbus Crew,1.19,1.73,1.36,1.27,1.63,1.19,1.03,1.23,1.90,1.63,1.67,1.38,1.53,1.21
DC United,0.94,1.00,1.14,1.30,1.40,1.69,1.72,1.83,1.23,1.33,0.73,1.15,1.71,0.47
FC Dallas,1.44,1.35,1.54,0.77,1.20,1.50,1.63,1.47,1.20,1.33,1.67,1.53,1.15,1.29
Los Angeles Galaxy,1.56,1.81,1.82,1.20,1.43,1.41,1.22,1.13,1.10,1.60,1.97,1.97,1.59,1.56
Houston Dynamo,null,null,null,null,null,null,1.44,1.73,1.70,1.60,1.10,1.44,1.56,1.50
Montreal Impact,null,null,null,null,null,null,null,null,null,null,null,null,1.24,1.44
New England Revolution,1.41,1.00,1.36,1.50,1.10,1.84,1.50,1.67,1.43,1.40,1.07,0.82,1.03,1.50
New York Red Bulls,1.69,1.62,1.25,1.40,1.33,1.47,1.22,1.43,1.30,0.70,1.70,1.35,1.68,1.74
Portland Timbers,null,null,null,null,null,null,null,null,null,null,null,1.24,1.00,1.68
Philadelphia Union,null,null,null,null,null,null,null,null,null,null,1.03,1.41,1.06,1.35
Real Salt Lake,null,null,null,null,null,0.63,1.22,0.90,1.33,1.33,1.87,1.56,1.68,1.65
San Jose Earthquakes,0.91,1.73,1.61,1.70,1.27,2.00,null,null,1.10,1.00,1.53,1.12,1.94,1.50
Seattle Sounders,null,null,null,null,null,null,null,null,null,1.57,1.60,1.85,1.65,1.53
Sporting Kansas City,1.78,1.33,1.29,1.40,1.63,1.41,1.19,1.33,1.40,1.10,1.30,1.50,1.85,1.71
Tampa Bay Mutiny,1.63,0.52,null,null,null,null,null,null,null,null,null,null,null,null
Toronto FC,null,null,null,null,null,null,null,0.83,1.17,1.30,1.17,0.97,0.68,0.85
Miami Fusion,1.28,2.04,null,null,null,null,null,null,null,null,null,null,null,null
Vancouver Whitecaps,null,null,null,null,null,null,null,null,null,null,null,0.82,1.26,1.41
