Year	CHI	CHV	COL	CLB	DCU	FCD	LAG	HOU	MTL	NER	NYRB	POR	PHL	RSL	SJE	SEA	SKC	TBM	TOR	MIA	VAN
2000	1.78	null	1.34	1.19	0.94	1.44	1.56	null	null	1.41	1.69	null	null	null	0.91	null	1.78	1.63	null	1.28	null
2001	1.96	null	0.88	1.73	1.00	1.35	1.81	null	null	1.00	1.62	null	null	null	1.73	null	1.33	0.52	null	2.04	null
2002	1.32	null	1.54	1.36	1.14	1.54	1.82	null	null	1.36	1.25	null	null	null	1.61	null	1.29	null	null	null	null
2003	1.77	null	1.33	1.27	1.30	0.77	1.20	null	null	1.50	1.40	null	null	null	1.70	null	1.40	null	null	null	null
2004	1.10	null	1.37	1.63	1.40	1.20	1.43	null	null	1.10	1.33	null	null	null	1.27	null	1.63	null	null	null	null
2005	1.53	0.56	1.41	1.19	1.69	1.50	1.41	null	null	1.84	1.47	null	null	0.63	2.00	null	1.41	null	null	null	null
2006	1.47	1.34	1.28	1.03	1.72	1.63	1.22	1.44	null	1.50	1.22	null	null	1.22	null	null	1.19	null	null	null	null
2007	1.33	1.77	1.17	1.23	1.83	1.47	1.13	1.73	null	1.67	1.43	null	null	0.90	null	null	1.33	null	0.83	null	null
2008	1.53	1.43	1.27	1.90	1.23	1.20	1.10	1.70	null	1.43	1.30	null	null	1.33	1.10	null	1.40	null	1.17	null	null
2009	1.50	1.50	1.33	1.63	1.33	1.33	1.60	1.60	null	1.40	0.70	null	null	1.33	1.00	1.57	1.10	null	1.30	null	null
2010	1.20	0.93	1.53	1.67	0.73	1.67	1.97	1.10	null	1.07	1.70	null	1.03	1.87	1.53	1.60	1.30	null	1.17	null	null
2011	1.26	1.06	1.44	1.38	1.15	1.53	1.97	1.44	null	0.82	1.35	1.24	1.41	1.56	1.12	1.85	1.50	null	0.97	null	0.82
2012	1.68	0.88	1.09	1.53	1.71	1.15	1.59	1.56	1.24	1.03	1.68	1.00	1.06	1.68	1.94	1.65	1.85	null	0.68	null	1.26
2013	1.44	0.76	1.50	1.21	0.47	1.29	1.56	1.50	1.44	1.50	1.74	1.68	1.35	1.65	1.50	1.53	1.71	null	0.85	null	1.41
2014	1.06	0.97	0.94	1.53	1.74	1.59	1.79	1.15	0.82	1.62	1.47	1.44	1.24 	1.65	0.88	1.88	1.44	null	1.21 	null	1.47
