aspect	United States	Middle East	India	Latin America	Europe	China	Sub-Saharan
Action-oriented	40	35	31	27	24	22	26
Analytical	27	32	30	21	38	47	26
Commercial	45	50	34	27	41	34	13
Creative	16	21	33	33	27	21	42
Strategic	24	9	24	3	29	15	17
Authoritative	6	6	12	6	10	6	10
Team-developing	25	28	29	26	24	31	41
Organized	14	39	24	20	21	21	7
Inclusive	20	12	21	15	30	15	10
Visionary	13	10	16	11	32	11	6
Self-aware	3	7	10	3	10	7	5
Growth-oriented	11	32	14	15	20	28	7
Ambitious	35	43	46	67	20	40	43
Authentic	11	17	17	11	22	19	9
Emotionally resilient	35	31	19	40	30	19	28
Engaging	25	20	18	67	24	34	18
Forms bonds	3	6	9	1	3	5	1
Collaborative	28	16	17	44	19	30	12
Experienced	14	15	19	5	20	20	31
Knowledgeable	11	17	21	4	12	11	10
